tenure,age,address,income,churn,region_Zone 2,region_Zone 3,marital_Unmarried,ed_Did not complete high school,ed_High school degree,ed_Post-undergraduate degree,ed_Some college,retire_Yes,gender_Male,voice_Yes,internet_Yes,forward_Yes,custcat_E-service,custcat_Plus service,custcat_Total service,predicted_lifetime,predicted_lifetime_capped,CLV,ID
13,44,9,64,1,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,93.75007570769841,93.75007570769841,3032.834563964742,1
11,33,7,136,1,False,True,False,False,False,True,False,False,True,True,False,True,False,False,True,99.45223897566672,99.45223897566672,3141.3410546874497,2
68,52,24,116,0,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,544.6533698256974,120.0,3485.0261015698643,3
33,33,12,33,1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,45.45416454658062,45.45416454658062,1819.1325693115245,4
23,30,9,30,0,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,127.43746849505953,120.0,3485.0261015698643,5
41,39,17,78,0,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,159.86519322266398,120.0,3485.0261015698643,6
45,22,2,19,1,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,37.18838752468192,37.18838752468192,1546.455300643057,7
38,35,5,76,0,True,False,True,False,True,False,False,False,True,True,True,True,False,False,True,27.108174432784228,27.108174432784228,1182.0920787450623,8
45,59,7,166,0,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,340.3323112258671,120.0,3485.0261015698643,9
68,41,21,72,0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,391.45372756739204,120.0,3485.0261015698643,10
5,33,10,125,1,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,18.002817649797674,18.002817649797674,820.0306225983661,11
7,35,14,80,0,False,True,True,False,True,False,False,False,False,True,False,True,False,True,False,76.32976763800339,76.32976763800339,2660.5134774314097,12
41,38,8,37,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,72.0135642269184,72.0135642269184,2557.8492097277126,13
57,54,30,115,1,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,248.99647277765663,120.0,3485.0261015698643,14
9,46,3,25,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,49.900093294929626,49.900093294929626,1956.7821023505533,15
29,38,12,75,0,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,102.86800187731939,102.86800187731939,3203.4516160481567,16
60,57,38,162,0,False,True,True,False,True,False,False,False,True,False,False,True,False,True,False,762.4184536231014,120.0,3485.0261015698643,17
34,48,3,49,0,False,True,True,False,True,False,False,False,False,False,False,True,False,True,False,122.269424133019,120.0,3485.0261015698643,18
1,24,3,20,0,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,22.194799794393802,22.194799794393802,990.7976301953347,19
26,29,3,77,1,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,31.204140620530158,31.204140620530158,1334.5673067975843,20
6,30,7,16,1,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,39.543613697688244,39.543613697688244,1626.449087000451,21
68,52,17,120,0,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,177.29753269523536,120.0,3485.0261015698643,22
53,33,10,101,0,False,True,True,False,False,True,False,False,False,True,True,True,False,False,True,31.196428307667777,31.196428307667777,1334.2860104626225,23
55,48,19,67,0,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,166.6964430222337,120.0,3485.0261015698643,24
14,43,18,36,0,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,302.4073439608683,120.0,3485.0261015698643,25
1,21,0,33,0,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,39.78388736593799,39.78388736593799,1634.5049471157392,26
42,40,7,37,0,True,False,True,False,True,False,False,False,False,True,True,False,False,False,True,35.50279954318811,35.50279954318811,1488.0434256367946,27
25,33,11,31,0,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,155.0504708752662,120.0,3485.0261015698643,28
9,21,1,17,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,28.53269206212392,28.53269206212392,1235.8269854151358,29
13,33,9,19,0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,75.25230027207995,75.25230027207995,2635.2965398230526,30
56,37,6,36,0,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,76.68279661481634,76.68279661481634,2668.717103591256,31
71,53,27,155,0,False,False,False,False,False,True,False,False,True,True,True,True,False,False,True,211.05975068573258,120.0,3485.0261015698643,32
35,50,26,140,0,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,551.2266562848882,120.0,3485.0261015698643,33
11,27,8,55,0,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,57.80460781453828,57.80460781453828,2186.9679025470587,34
60,46,13,163,0,True,False,False,False,False,False,True,False,True,True,True,True,False,False,True,89.55263521413521,89.55263521413521,2948.934194270367,35
20,35,11,52,1,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,88.24752743705464,88.24752743705464,2922.124832548428,36
54,60,38,211,0,True,False,True,False,False,False,False,False,True,True,True,False,False,False,True,279.6857976475048,120.0,3485.0261015698643,37
44,57,1,186,0,False,False,False,False,True,False,False,False,True,True,False,True,False,True,False,153.82785875519895,120.0,3485.0261015698643,38
11,41,0,39,1,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,81.76092547560181,81.76092547560181,2783.5880423133513,39
72,57,34,22,0,True,False,True,False,True,False,False,True,False,False,False,True,False,True,False,642.3927297260761,120.0,3485.0261015698643,40
10,41,7,30,0,False,True,True,True,False,False,False,False,True,False,False,True,False,True,False,112.13942794440815,112.13942794440815,3361.7747312206966,41
